CityID;xCoord;yCoord;Population
City10256;0.051219;0.24503;156359
City53000;-0.21458;0.28217;91016
City57507;-0.37264;0.037262;87399
City54207;-0.40878;-0.075887;86889
City66727;-0.2029;-0.10543;70816
City68621;-0.12907;0.30349;69413
City39350;0.16288;0.17327;59134
City33944;-0.11247;0.15156;59101
City87824;-0.11463;0.34097;52628
City25988;-0.16893;-0.016865;52178
City51626;0.20757;-0.017207;51328
City46136;-0.16479;0.1718;51055
City108230;0.019024;-0.23252;38018
City71546;0.27475;-0.056531;37016
City58740;-0.19002;0.080681;34800
City48533;0.20945;0.21504;34621
City52473;-0.004473;-0.15903;32333
City59853;0.053592;-0.065759;31075
City98317;0.008425;-0.13145;29331
City37081;0.21868;0.12958;28890
City75749;-0.027184;0.20282;28676
City25792;-0.086786;-0.040012;26557
City93979;0.06483;0.018405;19979
City6868;0.37785;-0.084322;19530
City22227;-0.1766;-0.18509;18807
City5436;0.25308;-0.13564;18588
City54694;-0.15078;0.12406;17033
City85693;-0.05952;-0.34385;15192
City14958;-0.057803;-0.081473;14199
City58545;-0.16869;-0.11526;13294
City6135;0.21006;-0.19605;12452
City27348;-0.17057;0.036886;12428
City22680;0.084835;0.065701;12209
City101431;-0.22852;0.17056;11602
City58382;0.13919;-0.26018;10230
City30765;-0.014139;0.11501;10114
City989;0.23256;0.05489;10061
City72760;0.21812;-0.22822;9376
City65013;0.35827;0.025069;9322
City5614;-0.24412;0.074707;8827
City33100;-0.086491;-0.15965;7623
City5408;-0.035479;0.068685;7322
City88902;-0.194313;0.018644;7165
City55019;0.32078;0.1751;7091
City41343;0.014961;0.015166;6885
City84147;0.130335;0.230035;6767
City63055;-0.19646;-0.012374;6525
City1503;0.16725;0.095301;6444
City19685;0.017189;0.12058;6373
City69869;-0.163525;0.216865;6271
City69973;0.29658;-0.17825;6195
City40938;-0.12077;0.227525;6175
City19616;0.012018;0.223925;6094
City4187;-0.30713;-0.14937;5921
City106890;-0.30584;-0.090659;5775
City51337;-0.33207;-0.063254;5749
City37301;-0.159545;0.192086;5714
City83986;0.015752;-0.19222;5471
City62583;0.13576;-0.18103;5279
