1011,6253,24695,16579,10873,8303,4983,3407,1138,1039,1083
6253,5242,28926,20810,15104,12534,9214,7638,5369,5270,5314
24695,28926,23684,39252,33546,30976,27656,26080,23811,23712,23756
16579,20810,39252,15568,25430,22860,19540,17964,15695,15596,15640
10873,15104,33546,25430,9862,17154,13834,12258,9989,9890,9934
8303,12534,30976,22860,17154,7292,11264,9688,7419,7320,7364
4983,9214,27656,19540,13834,11264,3972,6368,4099,4000,4044
3407,7638,26080,17964,12258,9688,6368,2396,2523,2424,2468
1138,5369,23811,15695,9989,7419,4099,2523,127,155,199
1039,5270,23712,15596,9890,7320,4000,2424,155,28,100
1083,5314,23756,15640,9934,7364,4044,2468,199,100,72
